119;Adámkovi J. a A.;Chvalovice;;;
2;Adámkovo vinařství s.r.o.;Višňové;adamek@adamkovovinarstvi.cz;420 607 531 704;https://www.adamkovovinarstvi.cz/
175;Bánovský Antonín;Boršice;;;
161;Bělehrádek Lubomír;Rebešovice;;;
3;Böhm Radek;Troubsko (Veselka);;;
50;Braunovi Rodinné vinařství;Šatov;info@vinarstvibraunovi.cz;420 774 657 785;http://www.vinarstvibraunovi.cz/
5;Buchtík Zdeněk;Boršice;;;
178;Burk Václav;Telnice;;;
6;Cukr Josef;Boršice;;;
7;Černá Jitka;Brno;;;
121;Černá Jitka;Brno - Bohunice;;;
172;Doložílek Radek;Boršice;;;
137;Durník V.;Boršice;;;
10;Dvořák Zdeněk;Dolní Kounice;;;
13;Endlicher Karel;Dolní Kounice;;;
166;Faltus Jiří;Blučina;;;
116;Gärtner Jiří;Klobouky u Brna;;;
135;Halinár Matej;Trboušany;;;
139;Hanzlíček Martin;Ořechov;;;
128;Horký Petr;Ořechov;;;
150;Hrdlička Ladislav;Telnice;;;
138;Hrdlička Miloslav;Žatčany;;;
160;Hrušák Jaroslav;Boršice;;;
20;Huška Tomáš;Čejkovice;;;
131;Huták Rudolf;Klobouky u Brna;;;
117;Charvát Zdeněk;Klobouky u Brna;;;
22;Chrbját Lukáš;Osvětimany;;;
24;Janda Lubomír;Miroslavské Knínice;;;
25;Janda Lubomír;Brno-Bohunice;;;
28;Kapp Rudolf;Brno;;;
125;Klement Pavel;Klobouky u Brna;;;
147;Klobou Bohuslav;Brno-Starý Lískovec;;;
157;Knápek & Machů;Velké Bílovitce;patrikmachu@seznam.cz;420 775 185 084;https://www.facebook.com/knapekamachu/
30;Konečný Ladislav;Brno-Bohunice;;;
165;Kopeček František;Telnice;;;
31;Koráb František;Boleradice;;;
32;Kořenek winary s.r.o.;Brno;;;
34;Kratochvíl František;Sokolnice;;;
35;Kratochvíl František ml.;Sokolnice;;;
36;Kučera Michal;Sokolnice;;;
37;Lambeck, s.r.o.;Znojmo;ladislav.gregor@seznam.cz;420 605 527 170;https://lambeck.cz/
39;Machač Jiří;Boleradice;;;
40;Macháček Pavel;Mělčany;;;
42;Matiašovic Ján;Devičany (SK);;;
115;Mayer Pavel;Mikulov;;;
148;Měřinský Petr;Nový Přerov;;;
145;Měšťánek V.;Boršice;;;
130;Mrákava René;Josefov;;;
142;Mrkvica Milan;Velké Němčice;;;
164;Musil Miroslav;Brno;;;
113;Nečas Pavel;Velké Němčic;;;
136;Nečas Radek;Velké Němčice;;;
179;Ondrouch Martin;Telnice;;;
45;Paulík Josef;Obřany;;;
46;Pavlas Jan;Želešice;;;
47;Pernica Zdeněk;Boršice;;;
169;Plíhal Zdeněk;Telnice;;;
167;Prchal Pavel;Velké Němčice;;;
48;Privarčák Jan;Želešice;;;
123;Radovan František;Telnice;;;
149;Richter Jaromír;Velké Němčice;;;
51;Rodinné vinařství Fila;Chvalovice;bohumilfila@seznam.cz;420 732 603 464;https://rodinne-vinarstvi-fila.webnode.cz/
176;Rumanovi - Mayer;Brno;;;
126;Ryšavý Jan;Telnice;;;
180;Sklípek u nás;Mutěnice;;;
54;Slanina Jan;Obřany;;;
151;Smejkal Jan;Ořechov;;;
127;Smištík P + J;Ořechov;;;
174;Sobotka Josef;Ořechov;;;
146;Strouhal Oldřich;Klobouky u Brna;;;
56;Strýček Josef;Brno;;;
59;Svoboda Pavel;Boršice;;;
134;Sýkora Josef;Brno;;;
143;Šabata Pavel;Velké Němčice;;;
114;Šindelka Jan;Podolí u Brna;;;
133;Šmukař Josef;Starovičky;;;
60;Špillar František;Hodonice;;;
61;Špíšek Milan;Brno;;;
62;Šťastné Vinařství;Blučina;vinarstvi@nerezblucina.cz;420 603 214 414;http://www.stastnevinarstvi.cz/
63;Šťastný Jiří;Blučina;;;
173;Štolfa Antonín + Petr;Boršice;;;
129;Švehlík Zbyněk;Telnice;;;
163;Táborský Jiří;Sokolnice;;;
66;Tasovické vinařství;Tasovice;tasovickevinarstvi@zdhodonice.cz;420 737 259 557;http://www.tasovickevinarstvi.cz/
67;Tejkal Miloš;Dolní Kounice;;;
111;Tománek Alois;Boršice;;;
120;Tománek Pavel;Boršice;;;
68;Turčínek Jan ml.;Brno-Starý Lískovec;;;
69;Turčínek Jan st.;Brno-Starý Lískovec;;;
70;Turčínek Pavel;Brno-Starý Lískovec;;;
168;Valla Libor;Velké Němčice;;;
153;Vinařství Bouchner;Moravské Bránice;vinobouchner@seznam.cz;420 604 348 433;https://www.vinarstvibouchner.cz/
122;Vinařství Buriánkovi;Hlohovec;vino@vinarstviburiankovi.cz;420 736 516 140;https://www.vinarstviburiankovi.cz/vinarstvi
74;Vinařství Frapa;Brno-Starý Lískovec;;;
75;Vinařství Habřina;Bořetice;info@vino-habrina.cz;420 724 110 863;https://www.vino-habrina.cz/
118;Vinařství Hamala;Miroslav;;;
78;Vinařství Jan Plaček;Moravské Bránice;info@vinoplacek.cz;420 723 067 276;https://www.vinoplacek.cz/
80;Vinařství Kamil Osička;Dolní Kounice;vinoosicka@seznam.cz;420 724 290 308;https://osickadolnikounice.cz/
156;Vinařství Košulič;Hustopeče;kosulic@vinokosulic.cz;420 775 651 555;https://www.vinokosulic.cz/
171;Vinařství Lažek;Ostrožská Nová Ves;;;
81;Vinařství Líbal s.r.o.;Horní Dunajovice;info@vinolibal.cz;420 736 225 204;https://www.vinolibal.cz/
83;Vinařství Olejník;Nový Šaldorf;info@penzionsaldorf.cz;420 724 815 507;https://www.penzionsaldorf.cz/
144;Vinařství Petr Samson;Velké Němčice;samson.petr@centrum.cz;420 728 104 958;https://www.facebook.com/people/Vina%C5%99stv%C3%AD-Petr-Samson/100079623560032/
84;Vinařství Poppovi;Šatov;vinarstvi@vinarstvipoppovi.cz;420 777 981 544;https://www.vinarstvipoppovi.cz/
154;Vinařství Rathouzský;Moravské Bránice;vino@rathouzsky.cz;420 737 478 893;https://www.rathouzsky.cz/
86;Vinařství Roman Komarov;Ivančice;obchod@vinokomarov.cz;420 603 478 610;https://www.vinokomarov.cz/
124;Vinařství Sonberk;Popice;sonberk@sonberk.cz;420 777 630 434;https://www.sonberk.cz/
88;Vinařství Thaya;Hnanice;info@vinarstvithaya.cz;420 544 230 111;https://vinarstvithaya.cz/
89;Vinařství Tomčala;Kobylí na Moravě;vinarstvi@tomcala.com;420 602 820 815;https://tomcala.com/
90;Vinařství u Stehlíků;Nový Šaldorf;antlenka@seznam.cz;420 776 255 235;https://vinarstviustehliku.webnode.cz/
177;Vinařství Vyskočil;Dolní Kounice;;;
91;Vinařství Vystoupil;Boleradice;petr.vystoupil@seznam.cz;420 739 028 403;https://www.vinarstvi-vystoupil.cz
95;Vinné sklepy Maršovice;Jezeřany-Maršovice;vsmarsovice@vsmarsovice.cz;420 777 695 292;https://vsmarsovice.cz/
96;Vinný skípek u Hanzelů;Miroslavské Knínice;;;
112;Víno Mikulenčák;Slup;mikulencak.m@gmail.com;420 737 259 558;https://sites.google.com/view/vinomikulencak
98;Víno Pokorný;Chvalovice;info@vino-pokorny.cz;420 602 475 857;https://www.vino-pokorny.cz/
155;Víno Přistál;Znojmo;info@vinopristal.cz;420 603 224 210;https://vinopristal.cz/
100;Víno Tichý;Rybníky;lukas@vinotichy.cz;420 602 510 030;http://www.vinotichy.cz/
101;Víno z Trboušan;Trboušany;j.korber@vinoztrbousan.cz;420 608 815 147;https://www.vinoztrbousan.cz
102;Vranka Libor;Boršice;;;
152;Weiss Petr;Miroslavské Knínice;;;
141;Záblatský Daniel;Drnholec;;;
104;Zmrzlý Zdeněk;Sokolnice;;;
105;Znovín Znojmo, a.s.;Šatov;info@znovin.cz;420 515 266 620;https://www.znovin.cz/
106;Životský Jakub;Sokolnice;;;
107;Životský Oldřich;Sokolnice;;;
140;Životský Petr;Sokolnice;;;
158;Žmolík Jiří;Boršice;;;
